,molecule_smi,smiles_token,smiles_attention,smarts_tox,tox_location,atom_tox_att,non_tox_location,atom_non_tox_att,att_bond
130,Cl[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,"['Cl', '[Sn]', '(', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', '(', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1']","[0.01734340377151966, 0.018157796934247017, 0.04220133647322655, 0.021115636453032494, 0.010978873819112778, 0.015610229223966599, 0.009913445450365543, 0.012013315223157406, 0.010235966183245182, 0.01346024964004755, 0.01242874190211296, 0.012047511525452137, 0.014637090265750885, 0.014380724169313908, 0.012965003959834576, 0.015215203166007996, 0.011872917413711548, 0.011964482255280018, 0.012029622681438923, 0.013557693921029568, 0.012860727496445179, 0.015507652424275875, 0.012169175781309605, 0.013142270036041737, 0.013026010245084763, 0.010288822464644909, 0.009552668780088425, 0.009647889994084835, 0.011002779006958008, 0.011557060293853283]","['[#50][#6]', '[$([#29][#6]),$([#47][#6]),$([#79][#6]),$([#30][#6]),$([#48][#6]),$([#80][#6]),$([#50][#6]),$([#82][#6]),$([#33][#6]),$([#51][#6])]']","(8, 1, 2, 14)","[0.018157796934247017, 0.021115636453032494, 0.014380724169313908, 0.012169175781309605]","(0, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19)","[0.01734340377151966, 0.015610229223966599, 0.009913445450365543, 0.012013315223157406, 0.010235966183245182, 0.01346024964004755, 0.015215203166007996, 0.011872917413711548, 0.011964482255280018, 0.012029622681438923, 0.013557693921029568, 0.013026010245084763, 0.010288822464644909, 0.009552668780088425, 0.009647889994084835, 0.011002779006958008]","[0.021115636453032494, 0.009913445450365543, 0.011872917413711548, 0.011964482255280018, 0.012029622681438923, 0.012169175781309605]"
131,CC1(C)[C@@H](/C=C(\Cl)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)c1cc(Oc2ccccc2)ccc1,"['C', 'C', '1', '(', 'C', ')', '[C@@H]', '(', '/', 'C', '=', 'C', '(', '\\', 'Cl', ')', 'C', '(', 'F', ')', '(', 'F', ')', 'F', ')', '[C@H]', '1', 'C', '(', '=', 'O', ')', 'O', '[C@H]', '(', 'C', '#', 'N', ')', 'c', '1', 'c', 'c', '(', 'O', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', 'c', 'c', 'c', '1']","[0.004211151972413063, 0.00913312565535307, 0.005844337400048971, 0.0066576264798641205, 0.005013402085751295, 0.007827592082321644, 0.004592361394315958, 0.011979090981185436, 0.00391294015571475, 0.02615048550069332, 0.029749223962426186, 0.005007223691791296, 0.035904254764318466, 0.005342402961105108, 0.025779878720641136, 0.014080893248319626, 0.0042595393024384975, 0.008533609099686146, 0.009796267375349998, 0.006452120374888182, 0.004825662821531296, 0.006869700271636248, 0.00548276724293828, 0.005649417173117399, 0.004940944258123636, 0.007885553874075413, 0.0046208081766963005, 0.006135379895567894, 0.007170745637267828, 0.005977070424705744, 0.007341345772147179, 0.007376670837402344, 0.014714385382831097, 0.006878184154629707, 0.005981437396258116, 0.02375827729701996, 0.020799608901143074, 0.013469711877405643, 0.010132478550076485, 0.007313266862183809, 0.005920641124248505, 0.009949272498488426, 0.008753650821745396, 0.00887402705848217, 0.011666998267173767, 0.01367340236902237, 0.07624193280935287, 0.01685422472655773, 0.008985967375338078, 0.006625011097639799, 0.007867137901484966, 0.015483167953789234, 0.03148267790675163, 0.019001130014657974, 0.0051948814652860165, 0.0050497460179030895, 0.006485465914011002, 0.0064585222862660885]","['[F,Cl,Br,I][C&X4][C&X3]=[C&X3]', '[*&!$(a)&!$(C=C)&!$(C#C)][C&X4][F,Cl,Br,I]']","(4, 5, 7, 8, 9, 10)","[0.02615048550069332, 0.005007223691791296, 0.0042595393024384975, 0.009796267375349998, 0.006869700271636248, 0.005649417173117399]","(0, 1, 2, 3, 6, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30)","[0.004211151972413063, 0.00913312565535307, 0.005013402085751295, 0.004592361394315958, 0.025779878720641136, 0.007885553874075413, 0.006135379895567894, 0.007341345772147179, 0.014714385382831097, 0.006878184154629707, 0.02375827729701996, 0.013469711877405643, 0.007313266862183809, 0.009949272498488426, 0.008753650821745396, 0.011666998267173767, 0.01367340236902237, 0.01685422472655773, 0.008985967375338078, 0.006625011097639799, 0.007867137901484966, 0.015483167953789234, 0.0051948814652860165, 0.0050497460179030895, 0.006485465914011002]","[0.005013402085751295, 0.004592361394315958, 0.005007223691791296, 0.0042595393024384975, 0.009796267375349998, 0.005649417173117399, 0.006135379895567894, 0.007341345772147179, 0.006878184154629707, 0.013469711877405643, 0.009949272498488426, 0.008753650821745396, 0.01367340236902237, 0.008985967375338078, 0.007867137901484966, 0.0051948814652860165, 0.0050497460179030895]"
132,ClC/C=C\Cl,"['Cl', 'C', '/', 'C', '=', 'C', '\\', 'Cl']","[0.013914131559431553, 0.02997763454914093, 0.04791603609919548, 0.042675379663705826, 0.024811983108520508, 0.01285810861736536, 0.02618071436882019, 0.02254856377840042]","[F,Cl,Br,I][C&X4][C&X3]=[C&X3]","(0, 1, 2, 3)","[0.013914131559431553, 0.02997763454914093, 0.042675379663705826, 0.01285810861736536]","(4,)",[0.02254856377840042],"[0.04791603609919548, 0.024811983108520508, 0.02618071436882019]"
133,CCCCCCCCCCCC(Cl)=O,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', '(', 'Cl', ')', '=', 'O']","[0.009703218936920166, 0.01600489392876625, 0.012191567569971085, 0.013935483992099762, 0.01478793565183878, 0.01547719445079565, 0.01547719445079565, 0.01874215342104435, 0.014796917326748371, 0.014795076102018356, 0.020978214219212532, 0.023114196956157684, 0.024502580985426903, 0.023920230567455292, 0.013169407844543457, 0.01815241388976574, 0.023296767845749855]","[Br,Cl,F,I][C&X3](=[O&X1])[#1,*&!$([O&H1])&!$([S&H1])]","(12, 11, 13, 10)","[0.020978214219212532, 0.023114196956157684, 0.023920230567455292, 0.023296767845749855]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)","[0.009703218936920166, 0.01600489392876625, 0.012191567569971085, 0.013935483992099762, 0.01478793565183878, 0.01547719445079565, 0.01547719445079565, 0.01874215342104435, 0.014796917326748371, 0.014795076102018356]","[0.024502580985426903, 0.013169407844543457, 0.01815241388976574]"
134,ClC(=O)OCCOC(Cl)=O,"['Cl', 'C', '(', '=', 'O', ')', 'O', 'C', 'C', 'O', 'C', '(', 'Cl', ')', '=', 'O']","[0.018961729481816292, 0.015059742145240307, 0.019093364477157593, 0.01737481914460659, 0.01666923239827156, 0.015889853239059448, 0.020458435639739037, 0.011635878123342991, 0.015221625566482544, 0.03423212468624115, 0.02123538963496685, 0.023322857916355133, 0.0205781701952219, 0.012651202268898487, 0.01568746380507946, 0.019820382818579674]","['[$([F,Cl,Br,I]C[O&X2]C),$([F,Cl,Br,I]CC[O&X2]C)]', '[Br,Cl,F,I][C&X3](=[O&X1])[#1,*&!$([O&H1])&!$([S&H1])]']","(0, 1, 2, 3, 6, 7, 8, 9)","[0.018961729481816292, 0.015059742145240307, 0.01666923239827156, 0.020458435639739037, 0.03423212468624115, 0.02123538963496685, 0.0205781701952219, 0.019820382818579674]","(4, 5)","[0.011635878123342991, 0.015221625566482544]","[0.01666923239827156, 0.020458435639739037, 0.015221625566482544]"
135,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,"['Cl', 'C', '(', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', '(', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1']","[0.020478863269090652, 0.010790876112878323, 0.02504420094192028, 0.024338841438293457, 0.011546601541340351, 0.013086634688079357, 0.01081839483231306, 0.012172340415418148, 0.010391605086624622, 0.01383262500166893, 0.012416314333677292, 0.011989769525825977, 0.014589780010282993, 0.014523964375257492, 0.012921436689794064, 0.015319094061851501, 0.011844783090054989, 0.012130306102335453, 0.012080750428140163, 0.013945125043392181, 0.01284074317663908, 0.015353442169725895, 0.012230761349201202, 0.013109621591866016, 0.013161420822143555, 0.010305059142410755, 0.009635488502681255, 0.00968782976269722, 0.011274651624262333, 0.011661852709949017]","['c1cc(-,:ccc1)-[#6](-c1ccccc1)-[#6]', 'c[C&X4][F,Cl,Br,I]']","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)","[0.020478863269090652, 0.010790876112878323, 0.024338841438293457, 0.013086634688079357, 0.01081839483231306, 0.012172340415418148, 0.010391605086624622, 0.01383262500166893, 0.014523964375257492, 0.015319094061851501, 0.011844783090054989, 0.012130306102335453, 0.012080750428140163, 0.013945125043392181, 0.012230761349201202, 0.013161420822143555, 0.010305059142410755, 0.009635488502681255, 0.00968782976269722, 0.011274651624262333]",(),[],"[0.024338841438293457, 0.01081839483231306, 0.011844783090054989, 0.012130306102335453, 0.012080750428140163, 0.012230761349201202]"
136,ClC(Cl)(Cl)S(=O)(=O)C(Cl)(Cl)Cl,"['Cl', 'C', '(', 'Cl', ')', '(', 'Cl', ')', 'S', '(', '=', 'O', ')', '(', '=', 'O', ')', 'C', '(', 'Cl', ')', '(', 'Cl', ')', 'Cl']","[0.020588306710124016, 0.011244378052651882, 0.021983275189995766, 0.021987026557326317, 0.013459068723022938, 0.00993409939110279, 0.020791644230484962, 0.009992155246436596, 0.011836976744234562, 0.012541810981929302, 0.022971918806433678, 0.015291278250515461, 0.022455565631389618, 0.0150412917137146, 0.01709510199725628, 0.023242348805069923, 0.022789761424064636, 0.009217307902872562, 0.020684584975242615, 0.01817413792014122, 0.012825656682252884, 0.014452964067459106, 0.020948318764567375, 0.014807292260229588, 0.014678721316158772]","[*&!$(a)&!$(C=C)&!$(C#C)][C&X4][F,Cl,Br,I]","(0, 1, 2, 3, 4, 7, 8, 9, 10)","[0.020588306710124016, 0.011244378052651882, 0.021987026557326317, 0.020791644230484962, 0.011836976744234562, 0.009217307902872562, 0.01817413792014122, 0.020948318764567375, 0.014678721316158772]","(5, 6)","[0.015291278250515461, 0.023242348805069923]","[0.021983275189995766, 0.013459068723022938, 0.00993409939110279, 0.009992155246436596, 0.012541810981929302, 0.022971918806433678, 0.022455565631389618, 0.0150412917137146, 0.01709510199725628, 0.022789761424064636, 0.020684584975242615, 0.012825656682252884, 0.014452964067459106, 0.014807292260229588]"
137,ClC1=C(Cl)C(=O)C(C#C)=C(C#C)C1=O,"['Cl', 'C', '1', '=', 'C', '(', 'Cl', ')', 'C', '(', '=', 'O', ')', 'C', '(', 'C', '#', 'C', ')', '=', 'C', '(', 'C', '#', 'C', ')', 'C', '1', '=', 'O']","[0.01121674943715334, 0.01583976298570633, 0.021790383383631706, 0.020752249285578728, 0.010282604023814201, 0.0156650859862566, 0.014270388521254063, 0.010965847410261631, 0.008606662973761559, 0.03775669261813164, 0.01138962060213089, 0.020284662023186684, 0.013865024782717228, 0.007569193374365568, 0.019005034118890762, 0.013000222854316235, 0.017763366922736168, 0.01609085500240326, 0.01149994507431984, 0.011630050837993622, 0.00902359839528799, 0.03792073577642441, 0.016422240063548088, 0.010561756789684296, 0.019312670454382896, 0.011319232173264027, 0.0087306322529912, 0.020521264523267746, 0.010917170904576778, 0.010649334639310837]","[#6]=[#6][C&X3](=[O&X1])-,:[!#1&!$([O&H1])]","(1, 2, 4, 5, 6, 9, 12, 13)","[0.01583976298570633, 0.010282604023814201, 0.008606662973761559, 0.020284662023186684, 0.007569193374365568, 0.00902359839528799, 0.0087306322529912, 0.010649334639310837]","(0, 3, 7, 8, 10, 11)","[0.01121674943715334, 0.014270388521254063, 0.013000222854316235, 0.01609085500240326, 0.016422240063548088, 0.019312670454382896]","[0.021790383383631706, 0.020752249285578728, 0.0156650859862566, 0.010965847410261631, 0.03775669261813164, 0.01138962060213089, 0.013865024782717228, 0.019005034118890762, 0.017763366922736168, 0.01149994507431984, 0.011630050837993622, 0.03792073577642441, 0.010561756789684296, 0.011319232173264027, 0.020521264523267746, 0.010917170904576778]"
138,Clc1ccc(-c2ccccc2)cc1,"['Cl', 'c', '1', 'c', 'c', 'c', '(', '-', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', 'c', 'c', '1']","[0.015324950218200684, 0.018377207219600677, 0.00980040431022644, 0.01105667743831873, 0.009382092393934727, 0.020986206829547882, 0.017358092591166496, 0.024141551926732063, 0.02546624094247818, 0.07775729894638062, 0.023237183690071106, 0.020176731050014496, 0.009530550800263882, 0.012458735145628452, 0.021819213405251503, 0.036575641483068466, 0.02453012578189373, 0.010791129432618618, 0.009065463207662106, 0.010945647954940796]","c1c(-,:cccc1)-c1ccccc1","(3, 4, 11, 12, 1, 2, 5, 6, 7, 8, 9, 10)","[0.018377207219600677, 0.01105667743831873, 0.009382092393934727, 0.020986206829547882, 0.024141551926732063, 0.02546624094247818, 0.023237183690071106, 0.020176731050014496, 0.009530550800263882, 0.012458735145628452, 0.021819213405251503, 0.010791129432618618]","(0,)",[0.015324950218200684],"[0.00980040431022644, 0.017358092591166496, 0.07775729894638062, 0.036575641483068466, 0.02453012578189373, 0.010945647954940796]"
139,Cl[C@@H]1C[C@H]2[C@@H](C1Cl)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,"['Cl', '[C@@H]', '1', 'C', '[C@H]', '2', '[C@@H]', '(', 'C', '1', 'Cl', ')', '[C@]', '1', '(', 'Cl', ')', 'C', '(', 'Cl', ')', '=', 'C', '(', 'Cl', ')', '[C@@]', '2', '(', 'Cl', ')', 'C', '1', '(', 'Cl', ')', 'Cl']","[0.008976965211331844, 0.01357350219041109, 0.0056838165037333965, 0.011705280281603336, 0.02834140509366989, 0.028714803978800774, 0.018701450899243355, 0.010044392198324203, 0.015746047720313072, 0.01691383309662342, 0.02001640945672989, 0.007552960887551308, 0.01354240532964468, 0.014511768706142902, 0.009976747445762157, 0.014400512911379337, 0.016154736280441284, 0.012299273163080215, 0.019661592319607735, 0.016263380646705627, 0.00959688052535057, 0.01441566925495863, 0.013397137634456158, 0.013756390661001205, 0.013672509230673313, 0.010459494777023792, 0.01377053651958704, 0.06005852296948433, 0.016858482733368874, 0.014200770296156406, 0.008051215671002865, 0.008659293875098228, 0.013657842762768269, 0.0077222795225679874, 0.012868727557361126, 0.009411013685166836, 0.010298140347003937]","['[#6]12-[#6]=[#6]-[#6](-[#6]-1)-[#6]-[#6]-2', '[F,Cl,Br,I][C&X4][C&X3]=[C&X3]']","(3, 4, 7, 8, 9, 11, 13, 14, 15)","[0.02834140509366989, 0.018701450899243355, 0.01354240532964468, 0.014400512911379337, 0.012299273163080215, 0.013397137634456158, 0.01377053651958704, 0.014200770296156406, 0.008659293875098228]","(0, 1, 2, 5, 6, 10, 12, 16, 17)","[0.008976965211331844, 0.01357350219041109, 0.011705280281603336, 0.015746047720313072, 0.02001640945672989, 0.016263380646705627, 0.013672509230673313, 0.012868727557361126, 0.010298140347003937]","[0.011705280281603336, 0.015746047720313072, 0.01354240532964468, 0.012299273163080215, 0.013397137634456158, 0.01377053651958704, 0.014200770296156406, 0.012868727557361126]"
140,Cl[C@H]1C[C@H]2[C@@H](C1Cl)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,"['Cl', '[C@H]', '1', 'C', '[C@H]', '2', '[C@@H]', '(', 'C', '1', 'Cl', ')', '[C@]', '1', '(', 'Cl', ')', 'C', '(', 'Cl', ')', '=', 'C', '(', 'Cl', ')', '[C@@]', '2', '(', 'Cl', ')', 'C', '1', '(', 'Cl', ')', 'Cl']","[0.008748727850615978, 0.011959821917116642, 0.006277390290051699, 0.009605391882359982, 0.02712704986333847, 0.02933328039944172, 0.0216467697173357, 0.010106691159307957, 0.016201728954911232, 0.016988107934594154, 0.019696811214089394, 0.007523910608142614, 0.013600778765976429, 0.014540250413119793, 0.010159371420741081, 0.01438042614609003, 0.016187720000743866, 0.012304666452109814, 0.019946960732340813, 0.01608940213918686, 0.009565620683133602, 0.01449295412749052, 0.013387426733970642, 0.013852470554411411, 0.013614154420793056, 0.010391941294074059, 0.013852388598024845, 0.060353055596351624, 0.016972385346889496, 0.014105170033872128, 0.008000784553587437, 0.008739253506064415, 0.01377283874899149, 0.007776135113090277, 0.012843050993978977, 0.009435386396944523, 0.010342597030103207]","['[#6]12-[#6]=[#6]-[#6](-[#6]-1)-[#6]-[#6]-2', '[F,Cl,Br,I][C&X4][C&X3]=[C&X3]']","(3, 4, 7, 8, 9, 11, 13, 14, 15)","[0.02712704986333847, 0.0216467697173357, 0.013600778765976429, 0.01438042614609003, 0.012304666452109814, 0.013387426733970642, 0.013852388598024845, 0.014105170033872128, 0.008739253506064415]","(0, 1, 2, 5, 6, 10, 12, 16, 17)","[0.008748727850615978, 0.011959821917116642, 0.009605391882359982, 0.016201728954911232, 0.019696811214089394, 0.01608940213918686, 0.013614154420793056, 0.012843050993978977, 0.010342597030103207]","[0.009605391882359982, 0.016201728954911232, 0.013600778765976429, 0.012304666452109814, 0.013387426733970642, 0.013852388598024845, 0.014105170033872128, 0.012843050993978977]"
141,CC[Hg]N1C(=O)C2C(C1=O)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,"['C', 'C', '[Hg]', 'N', '1', 'C', '(', '=', 'O', ')', 'C', '2', 'C', '(', 'C', '1', '=', 'O', ')', 'C', '1', '(', 'Cl', ')', 'C', '(', 'Cl', ')', '=', 'C', '(', 'Cl', ')', 'C', '2', '(', 'Cl', ')', 'C', '1', '(', 'Cl', ')', 'Cl']","[0.005417221691459417, 0.036566976457834244, 0.010361097753047943, 0.023385636508464813, 0.008736667223274708, 0.006115060765296221, 0.02107076533138752, 0.0092258770018816, 0.016593223437666893, 0.012044279836118221, 0.008579964749515057, 0.04440097138285637, 0.011952570639550686, 0.009138289839029312, 0.007196831051260233, 0.013262409716844559, 0.01119859516620636, 0.011792339384555817, 0.008737274445593357, 0.010311213321983814, 0.013223249465227127, 0.00574919581413269, 0.009267483837902546, 0.01006398256868124, 0.008797097019851208, 0.01590048149228096, 0.013102971017360687, 0.008390997536480427, 0.02283572591841221, 0.012535743415355682, 0.011475720442831516, 0.0140352388843894, 0.008055663667619228, 0.008582402020692825, 0.06735896319150925, 0.01454134564846754, 0.011892679147422314, 0.007308347150683403, 0.008047489449381828, 0.011355667375028133, 0.006765239406377077, 0.01145187858492136, 0.008971243165433407, 0.008839457295835018]","['[#6]12-[#6]=[#6]-[#6](-[#6]-1)-[#6]-[#6]-2', '[$([#29][#6]),$([#47][#6]),$([#79][#6]),$([#30][#6]),$([#48][#6]),$([#80][#6]),$([#50][#6]),$([#82][#6]),$([#33][#6]),$([#51][#6])]']","(2, 6, 7, 10, 12, 14, 16, 18)","[0.010361097753047943, 0.008579964749515057, 0.011952570639550686, 0.010311213321983814, 0.008797097019851208, 0.012535743415355682, 0.008582402020692825, 0.008047489449381828]","(0, 1, 3, 4, 5, 8, 9, 11, 13, 15, 17, 19, 20)","[0.005417221691459417, 0.036566976457834244, 0.023385636508464813, 0.006115060765296221, 0.016593223437666893, 0.007196831051260233, 0.011792339384555817, 0.009267483837902546, 0.013102971017360687, 0.0140352388843894, 0.011892679147422314, 0.01145187858492136, 0.008839457295835018]","[0.006115060765296221, 0.008579964749515057, 0.011952570639550686, 0.011792339384555817, 0.009267483837902546, 0.013102971017360687, 0.0140352388843894, 0.008582402020692825, 0.008047489449381828, 0.008839457295835018]"
142,Clc1cc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,"['Cl', 'c', '1', 'c', 'c', '(', 'Cl', ')', 'c', '(', '-', 'c', '2', 'c', '(', 'Cl', ')', 'c', '(', 'Cl', ')', 'c', 'c', '(', 'Cl', ')', 'c', '2', 'Cl', ')', 'c', 'c', '1', 'Cl']","[0.011624344624578953, 0.015209429897367954, 0.008880802430212498, 0.010145840235054493, 0.007890980690717697, 0.013801558874547482, 0.011425536125898361, 0.01339948270469904, 0.013438642956316471, 0.015734734013676643, 0.01971011981368065, 0.018236057832837105, 0.059345949441194534, 0.02246287278831005, 0.01533688884228468, 0.010900524444878101, 0.012591928243637085, 0.013763862662017345, 0.014402042143046856, 0.013826824724674225, 0.010136752389371395, 0.010017034597694874, 0.009403237141668797, 0.019052250310778618, 0.010541361756622791, 0.015359492041170597, 0.025153085589408875, 0.04122220352292061, 0.024089312180876732, 0.009611858986318111, 0.006743475329130888, 0.007581041660159826, 0.011880899779498577, 0.01586567424237728]","['c1c(-,:cccc1)-c1ccccc1-Cl', 'c1c(-,:cccc1)-c1ccccc1']","(1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17)","[0.015209429897367954, 0.010145840235054493, 0.007890980690717697, 0.011425536125898361, 0.013438642956316471, 0.01971011981368065, 0.018236057832837105, 0.02246287278831005, 0.010900524444878101, 0.013826824724674225, 0.010017034597694874, 0.010541361756622791, 0.025153085589408875, 0.024089312180876732, 0.006743475329130888]","(0, 10, 13, 18)","[0.011624344624578953, 0.013763862662017345, 0.009403237141668797, 0.007581041660159826, 0.01586567424237728]","[0.010145840235054493, 0.013438642956316471, 0.018236057832837105, 0.010900524444878101, 0.010017034597694874, 0.010541361756622791, 0.024089312180876732, 0.007581041660159826]"
143,FC(F)(F)c1cc(Cl)c(CNC(=O)c2c(Cl)cccc2Cl)nc1,"['F', 'C', '(', 'F', ')', '(', 'F', ')', 'c', '1', 'c', 'c', '(', 'Cl', ')', 'c', '(', 'C', 'N', 'C', '(', '=', 'O', ')', 'c', '2', 'c', '(', 'Cl', ')', 'c', 'c', 'c', 'c', '2', 'Cl', ')', 'n', 'c', '1']","[0.014154438860714436, 0.008665315806865692, 0.00749872624874115, 0.012893027625977993, 0.008909774012863636, 0.006090493872761726, 0.009364950470626354, 0.011610767804086208, 0.0070129986852407455, 0.007077530026435852, 0.010289762169122696, 0.008862672373652458, 0.010897467844188213, 0.010962743312120438, 0.01087935920804739, 0.013641663827002048, 0.005682537332177162, 0.021581625565886497, 0.04107217118144035, 0.015353919006884098, 0.01359971147030592, 0.008922559209167957, 0.01362772285938263, 0.01498473435640335, 0.009644393809139729, 0.04519529640674591, 0.02476400136947632, 0.009243265725672245, 0.019322553649544716, 0.010041008703410625, 0.018705589696764946, 0.006465433165431023, 0.012131095863878727, 0.014271561056375504, 0.039000723510980606, 0.028147326782345772, 0.007012055721133947, 0.015771152451634407, 0.008633481338620186, 0.007204506546258926]","['c[C&X4][F,Cl,Br,I]', '[*&!$(a)&!$(C=C)&!$(C#C)][C&X4][F,Cl,Br,I]']","(0, 1, 2, 3, 4)","[0.014154438860714436, 0.008665315806865692, 0.012893027625977993, 0.009364950470626354, 0.0070129986852407455]","(5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)","[0.010289762169122696, 0.008862672373652458, 0.010962743312120438, 0.013641663827002048, 0.021581625565886497, 0.04107217118144035, 0.015353919006884098, 0.01362772285938263, 0.009644393809139729, 0.02476400136947632, 0.019322553649544716, 0.018705589696764946, 0.006465433165431023, 0.012131095863878727, 0.014271561056375504, 0.028147326782345772, 0.015771152451634407, 0.008633481338620186]","[0.012893027625977993, 0.0070129986852407455, 0.010289762169122696, 0.010962743312120438, 0.021581625565886497, 0.01362772285938263, 0.02476400136947632, 0.018705589696764946, 0.028147326782345772, 0.015771152451634407]"
144,ClC(Cl)=C(c1ccc(Cl)cc1)c1c(Cl)cccc1,"['Cl', 'C', '(', 'Cl', ')', '=', 'C', '(', 'c', '1', 'c', 'c', 'c', '(', 'Cl', ')', 'c', 'c', '1', ')', 'c', '1', 'c', '(', 'Cl', ')', 'c', 'c', 'c', 'c', '1']","[0.017856920138001442, 0.0102548748254776, 0.02215011976659298, 0.02348572015762329, 0.012693186290562153, 0.018939176574349403, 0.010391955263912678, 0.02563144825398922, 0.01893852837383747, 0.010178572498261929, 0.00786760076880455, 0.010870779864490032, 0.014663406647741795, 0.018668854609131813, 0.014968826435506344, 0.015069369226694107, 0.015202351845800877, 0.011972259730100632, 0.009714622981846333, 0.02061796933412552, 0.010562621988356113, 0.01156638190150261, 0.01802721992135048, 0.012536763213574886, 0.019076606258749962, 0.014348733238875866, 0.012197594158351421, 0.008212115615606308, 0.009156721644103527, 0.012211141176521778, 0.010808886028826237]","c1cc(-,:ccc1)-[#6](-c1ccccc1)=[#6](-Cl)-Cl","(6, 5, 4, 10, 9, 7, 3, 11, 12, 14, 15, 16, 17, 1, 0, 2)","[0.017856920138001442, 0.0102548748254776, 0.02348572015762329, 0.010391955263912678, 0.01893852837383747, 0.00786760076880455, 0.010870779864490032, 0.014663406647741795, 0.015202351845800877, 0.011972259730100632, 0.010562621988356113, 0.01802721992135048, 0.012197594158351421, 0.008212115615606308, 0.009156721644103527, 0.012211141176521778]","(8, 13)","[0.014968826435506344, 0.019076606258749962]","[0.02215011976659298, 0.012693186290562153, 0.018939176574349403, 0.02563144825398922, 0.010178572498261929, 0.018668854609131813, 0.015069369226694107, 0.009714622981846333, 0.02061796933412552, 0.01156638190150261, 0.012536763213574886, 0.014348733238875866, 0.010808886028826237]"
145,NC(=O)CCl,"['N', 'C', '(', '=', 'O', ')', 'C', 'Cl']","[0.0190550796687603, 0.017130035907030106, 0.037748973816633224, 0.01802515611052513, 0.036382775753736496, 0.03657722845673561, 0.02051333524286747, 0.05679824948310852]","['[*&!$(a)&!$(C=C)&!$(C#C)][C&X4][F,Cl,Br,I]', '[F,Cl,Br,I][#6][C&X3](=[O&X1])[N&X3]']","(0, 1, 2, 3, 4)","[0.0190550796687603, 0.017130035907030106, 0.036382775753736496, 0.02051333524286747, 0.05679824948310852]",(),[],"[0.036382775753736496, 0.02051333524286747]"
146,ClCc1c(CCl)cccc1,"['Cl', 'C', 'c', '1', 'c', '(', 'C', 'Cl', ')', 'c', 'c', 'c', 'c', '1']","[0.014199969358742237, 0.017016761004924774, 0.03809661045670509, 0.016345929354429245, 0.014689293690025806, 0.019246486946940422, 0.041463565081357956, 0.06318352371454239, 0.0276196226477623, 0.01225336268544197, 0.010490816086530685, 0.012032891623675823, 0.01761019416153431, 0.01427681278437376]","c[C&X4][F,Cl,Br,I]","(0, 1, 2, 3, 4, 5)","[0.014199969358742237, 0.017016761004924774, 0.03809661045670509, 0.014689293690025806, 0.041463565081357956, 0.06318352371454239]","(6, 7, 8, 9)","[0.01225336268544197, 0.010490816086530685, 0.012032891623675823, 0.01761019416153431]","[0.016345929354429245, 0.019246486946940422, 0.0276196226477623, 0.01427681278437376]"
147,OCCCCl,"['O', 'C', 'C', 'C', 'Cl']","[0.01631038263440132, 0.026451468467712402, 0.034976985305547714, 0.02914053201675415, 0.048115555197000504]","[*&!$(a)&!$(C=C)&!$(C#C)][C&X4][F,Cl,Br,I]","(2, 3, 4)","[0.034976985305547714, 0.02914053201675415, 0.048115555197000504]","(0, 1)","[0.01631038263440132, 0.026451468467712402]",[]
